	AM01	AM02	AM03	AM04	AM05	AM06	AM07	AM08	AM09	AM10	AM11	AM12	AM13	AM14	AM15	AM16	AM17	AM18	AM19	AM20	AM21	AM22	AM23	AM24	AM26	AM27	AM28	AM29	AM30	AM31	AM32	AM33	AM34	AM35	AM36	AM37	AM38	AM39	AM40	AM41	AM42	AM43	AM44	AM45	AM46	AM47	AM48
ASV_1	10459	8198	6740	5339	114	15981	9607	4123	5860	4780	12440	11617	2646	8770	6510	5979	17076	7768	6490	19628	7028	6605	816	11358	4680	21299	29900	12595	7805	12820	14506	18162	14456	23445	30015	22725	17156	9224	20148	15588	15573	7217	43753	19733	13121	35807	19170
ASV_2	2232	6735	3194	2244	69	3268	3663	1786	2574	3542	3531	5438	1148	16184	2903	1877	2646	1477	3775	3071	3721	978	1399	3211	9691	3422	1155	2526	3002	4790	2393	8736	2843	1242	3420	3019	1598	1476	3016	3018	1699	764	1450	3853	2261	1191	2595
ASV_3	997	1372	3194	0	0	0	0	462	0	0	336	2134	58	0	0	369	1043	889	3076	808	2407	41993	169	1250	0	4682	1033	0	401	1801	12929	0	4268	593	1131	2498	1699	487	389	299	3555	1510	477	0	3658	502	0
ASV_4	705	1456	454	1279	115	485	5619	367	2370	786	4360	918	708	4581	2489	902	1659	825	1481	1229	1026	1086	210	953	2149	2453	1467	7205	768	1877	3805	1959	803	2181	9396	2143	1900	1682	3666	1036	2506	474	6183	5043	737	2413	2674
ASV_5	1752	1938	1800	1050	31	7149	1617	1268	1337	2806	1764	2239	849	1183	1974	778	1444	1635	1618	2850	1244	1600	140	2364	2584	3166	4062	2833	860	5244	3192	1883	3424	2531	1857	3906	2308	2826	639	1106	1322	685	1740	2532	2583	690	4561
ASV_6	1053	2408	672	3084	72	1809	3995	675	7260	1097	3499	1760	1042	5679	3693	1214	1023	1183	1391	683	1797	660	253	958	1411	3224	1408	1866	775	3275	1806	2008	2628	1126	4541	1819	935	3187	1961	1231	791	430	983	5016	1659	305	1469
ASV_7	387	398	11803	367	0	4913	547	1054	82	1776	0	134	12216	312	359	517	1048	3228	1953	956	1115	0	290	684	4372	0	3648	1492	241	118	1332	62	3636	963	236	9283	0	51	76	318	161	0	0	298	5243	259	406
ASV_8	294	412	214	519	0	210	827	11882	249	848	11807	1971	1974	106	242	159	254	102	535	116	3175	2031	441	876	0	423	140	200	53	288	160	456	225	5890	298	385	2609	76	95	61	88	63	62	436	149	96	461
ASV_9	2002	1948	593	748	0	635	1795	1003	2452	2294	2691	4442	1042	1689	1169	1955	990	659	1656	539	2414	844	294	1710	820	1103	732	2109	195	724	719	300	1143	469	2585	382	710	428	687	185	422	146	187	400	389	108	769
ASV_10	349	741	304	1551	0	295	1426	705	534	572	2261	708	391	2037	1226	259	746	605	686	345	724	0	0	542	911	4642	1022	2537	364	1239	1286	1019	1888	1157	3962	1201	812	629	1686	1538	447	603	2005	3182	405	818	894
ASV_11	619	3736	1836	672	67	821	1090	957	1094	827	1972	1259	523	1555	1098	638	1065	790	2723	1116	1202	1700	1052	1002	2112	1558	463	995	570	1105	1039	541	818	744	759	760	383	290	2297	553	368	190	654	1694	607	216	446
ASV_12	799	1815	1558	255	0	1930	917	655	570	1470	1188	1794	992	926	1539	1275	1291	949	1508	1545	610	831	121	858	971	1267	702	864	395	1653	1329	1942	3371	1065	948	652	731	1890	385	482	509	181	233	798	283	249	799
ASV_13	213	714	253	633	36	250	946	136	1002	256	1172	375	170	15776	547	306	239	333	485	366	1165	12	294	467	362	1053	98	460	274	1126	510	852	262	179	748	195	135	280	564	1195	368	83	260	1234	102	114	154
ASV_14	312	356	1010	0	0	0	0	136	0	0	76	604	0	0	0	108	393	281	970	240	581	13147	43	386	0	1215	441	0	132	523	5566	0	1158	250	235	1039	556	188	98	78	1280	538	147	0	1392	154	0
ASV_15	348	438	1114	0	0	0	0	148	0	0	135	693	0	0	0	104	326	319	922	241	947	11202	52	385	0	1486	360	0	98	595	4934	0	1355	173	403	879	604	168	137	118	1306	524	160	0	1340	201	0
ASV_16	0	57	0	0	0	0	0	0	0	47	0	252	27	0	69	85	0	78	59	0	75	0	30963	0	0	54	0	0	56	0	69	0	0	0	0	0	42	0	0	0	0	0	0	87	0	0	0
ASV_17	561	2813	2039	291	16	486	842	451	410	820	247	879	3544	238	796	593	748	547	2074	819	299	681	108	373	816	706	298	435	115	424	584	340	423	481	156	270	476	486	161	244	244	223	253	184	279	116	335
ASV_18	384	950	913	1202	7	613	614	107	339	2323	537	986	769	981	263	286	369	410	424	269	980	764	167	446	943	1110	273	1101	265	813	1557	266	536	282	1243	431	465	197	221	128	191	271	251	1080	241	101	1211
ASV_19	749	1071	761	846	64	701	1741	389	744	1012	838	743	788	676	973	538	615	928	777	569	1115	458	524	568	579	618	100	207	116	580	1710	228	417	291	649	351	382	541	216	177	227	176	112	508	251	101	298
ASV_20	350	517	344	2433	0	510	1807	277	797	772	989	1087	1639	250	576	1806	344	942	638	520	3168	0	1140	1018	290	474	54	536	90	539	435	168	164	206	253	167	158	0	202	65	107	117	157	159	130	49	100
ASV_21	367	693	470	959	0	1201	2444	150	614	1140	1143	845	1835	363	749	715	595	693	1092	418	1382	107	202	554	171	882	67	833	76	259	356	324	230	208	384	163	198	65	239	133	138	455	129	173	249	69	240
ASV_22	174	595	133	408	37	246	1040	104	479	460	709	560	89	2422	326	479	236	221	344	301	652	0	304	442	5880	594	224	531	130	591	384	2870	88	69	463	131	168	31	175	205	123	322	222	358	0	0	114
ASV_23	373	885	390	285	47	430	1051	569	1479	1928	1163	885	673	662	531	554	361	428	635	207	357	204	92	608	283	442	88	647	59	286	483	230	576	274	1033	234	1285	498	358	140	104	133	108	547	174	67	221
ASV_24	388	293	273	176	0	532	335	168	222	182	456	459	0	341	179	221	682	255	237	735	222	243	0	407	169	762	1091	438	300	473	534	602	516	943	1071	849	628	319	769	530	503	286	1630	751	418	1252	616
ASV_25	0	6266	215	0	0	1409	191	101	0	0	352	0	478	2027	546	121	110	1982	495	1058	2801	0	46	2555	126	50	0	191	0	111	67	660	110	0	0	0	50	0	0	0	53	19	0	0	0	0	0
ASV_26	704	616	667	235	0	280	381	571	206	1099	227	542	1493	84	579	620	425	586	731	554	349	1820	107	548	976	811	165	811	248	412	440	467	432	233	152	234	616	541	129	295	222	459	80	171	632	67	145
ASV_27	134	2640	1248	1074	8	160	425	82	143	483	236	232	266	65	390	87	204	264	302	218	4399	1753	1132	274	132	957	90	105	29	51	248	241	89	125	190	107	144	74	227	71	103	713	115	223	75	47	186
ASV_28	187	484	205	856	34	303	1528	235	855	361	907	242	248	1352	407	659	102	348	230	75	1514	22	322	119	358	225	23	310	85	120	672	182	110	127	2041	153	172	301	327	122	135	105	90	1340	107	0	0
